Animator.avatar = FengAvatar
Visual.localScale = (2.2130, 2.2130, 2.2130)  （应为 2.2130）
蒙皮网格 1 个
root.y = 0.3300   地面 Y = 0.3000
Visual.localPosition.y 设为 0.0000

状态      采样最低(相对地面)   建议 stateOffsets.y
----------------------------------------------------
Idle         -0.0276                0.0306
Walk         -0.1053                0.1083
Run          -0.1685                0.1715
Dash          0.0071               -0.0041
Atk1         -0.0339                0.0369
Atk1Rec      -0.5954                0.5984
Atk2         -0.2435                0.2465
Atk2Rec      -0.8804                0.8834
Atk3         -0.8738                0.8768
