时刻   状态       pose.en  Curl  握拳度R  握拳度L   CurrentSpeed
-----------------------------------------------------------------
== 比值 > 1.45 的帧 ==
 3.31   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.31   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.32   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.33   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.33   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.34   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.35   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.35   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.36   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.37   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.38   Walk      Y    30     1.547    1.462    13.11   ← 非攻击
 3.38   Walk      Y    30     1.547    1.461    12.54   ← 非攻击
 3.39   Walk      Y    30     1.547    1.459    12.03   ← 非攻击
 3.40   Walk      Y    30     1.547    1.453    11.39   ← 非攻击
 3.40   Walk      Y    30     1.547    1.443    10.89   ← 非攻击
 3.41   Walk      Y    30     1.547    1.427    10.37   ← 非攻击
 3.42   Walk      Y    30     1.547    1.402     9.83   ← 非攻击
 3.42   Walk      Y    30     1.547    1.373     9.36   ← 非攻击
 3.43   Walk      Y    30     1.547    1.333     8.83   ← 非攻击
 3.44   Atk1      Y    30     1.547    1.290     8.24
 3.44   Atk1      Y    30     1.547    1.266     7.75
 3.45   Atk1      Y    30     1.547    1.241     7.14
 3.46   Atk1      Y    30     1.547    1.229     6.68
 3.47   Atk1      Y    30     1.547    1.220     5.99
 3.47   Atk1      Y    30     1.547    1.221     5.45
 3.48   Atk1      Y    30     1.547    1.226     4.96
 3.49   Atk1      Y    30     1.547    1.234     4.37
 3.50   Atk1      Y    30     1.547    1.242     3.79
 3.50   Atk1      Y    30     1.547    1.248     3.30
 3.51   Atk1      Y    30     1.547    1.253     2.73
 3.52   Atk1      Y    30     1.547    1.256     2.15
 3.52   Atk1      Y    30     1.547    1.255     1.68
 3.53   Atk1      Y    30     1.547    1.254     1.16
 3.54   Atk1      Y    30     1.547    1.253     0.57
 3.54   Atk1      Y    30     1.547    1.253     0.09
 3.55   Atk1      Y    30     1.547    1.253     0.00
 3.56   Atk1      Y    30     1.547    1.253     0.00
 3.56   Atk1      Y    30     1.547    1.253     0.00
 3.57   Atk1      Y    30     1.547    1.253     0.00
 3.58   Atk1      Y    30     1.547    1.253     0.00
 3.59   Atk1      Y    30     1.547    1.253     0.00
 3.59   Atk1      Y    30     1.547    1.253     0.00
 3.60   Atk1      Y    30     1.547    1.253     0.00
 3.61   Atk1      Y    30     1.547    1.253     0.00
 3.61   Atk1      Y    30     1.547    1.253     0.00
 3.62   Atk1      Y    30     1.547    1.253     0.00
 3.63   Atk1      Y    30     1.547    1.253     0.00
 3.63   Atk1      Y    30     1.547    1.252     0.00
 3.64   Atk1      Y    30     1.547    1.252     0.00
 3.65   Atk1      Y    30     1.547    1.252     0.00
 3.65   Atk1      Y    30     1.547    1.252     0.00
 3.66   Atk1      Y    30     1.547    1.252     0.00
 3.67   Atk1      Y    30     1.547    1.252     0.00
 3.67   Atk1      Y    30     1.547    1.252     0.00
 3.68   Atk1      Y    30     1.547    1.253     0.00
 3.69   Atk1      Y    30     1.547    1.253     0.00
 3.70   Atk1      Y    30     1.547    1.253     0.00
 3.70   Atk1      Y    30     1.547    1.253     0.00
 3.71   Atk1      Y    30     1.547    1.253     0.00
 3.72   Atk1      Y    30     1.547    1.253     0.00
 3.72   Atk1      Y    30     1.547    1.253     0.00
 3.73   Atk1      Y    30     1.547    1.252     0.00
 3.74   Atk1      Y    30     1.547    1.251     0.00
 3.75   Atk1      Y    30     1.547    1.250     0.00
 3.75   Atk1      Y    30     1.547    1.248     0.00
 3.76   Atk1      Y    30     1.547    1.246     0.00
 3.76   Atk1      Y    30     1.547    1.243     0.00
 3.77   Atk1      Y    30     1.547    1.240     0.00
 3.78   Atk1      Y    30     1.547    1.237     0.00
 3.79   Atk1Rec   Y    30     1.547    1.233     0.00
 3.79   Atk1Rec   Y    30     1.547    1.231     0.00
 3.80   Atk1Rec   Y    30     1.547    1.228     0.00
 3.81   Atk1Rec   Y    30     1.547    1.225     0.00
 3.81   Atk1Rec   Y    30     1.547    1.224     0.00
 3.82   Atk1Rec   Y    30     1.547    1.222     0.00
 3.83   Atk1Rec   Y    30     1.547    1.221     0.00
 3.83   Atk1Rec   Y    30     1.547    1.220     0.00
 3.84   Atk1Rec   Y    30     1.547    1.220     0.00
 3.85   Atk1Rec   Y    30     1.547    1.220     0.00
 3.86   Atk1Rec   Y    30     1.547    1.220     0.00
 3.86   Atk1Rec   Y    30     1.547    1.221     0.00
 3.87   Atk1Rec   Y    30     1.547    1.222     0.00
 3.88   Atk1Rec   Y    30     1.547    1.224     0.00
 3.88   Atk1Rec   Y    30     1.547    1.227     0.00
 3.89   Atk1Rec   Y    30     1.547    1.229     0.00
 3.90   Atk1Rec   Y    30     1.547    1.232     0.00
 3.90   Atk1Rec   Y    30     1.547    1.237     0.00
 3.91   Atk1Rec   Y    30     1.547    1.241     0.00
 3.92   Atk1Rec   Y    30     1.547    1.246     0.00
 3.93   Atk1Rec   Y    30     1.547    1.251     0.08
 3.93   Atk1Rec   Y    30     1.547    1.257     0.08
 3.94   Atk1Rec   Y    30     1.547    1.263     0.08
 3.95   Atk1Rec   Y    30     1.547    1.271     0.10
 3.95   Atk1Rec   Y    30     1.547    1.276     0.06
 3.96   Atk1Rec   Y    30     1.547    1.284     0.09
 3.97   Atk1Rec   Y    30     1.547    1.290     0.06
 3.97   Atk1Rec   Y    30     1.547    1.298     0.08
 3.98   Atk1Rec   Y    30     1.547    1.305     0.07
 3.99   Atk1Rec   Y    30     1.547    1.313     0.09
 3.99   Atk1Rec   Y    30     1.547    1.321     0.07
 4.00   Atk1Rec   Y    30     1.547    1.328     0.07
 4.01   Atk1Rec   Y    30     1.547    1.336     0.09
 4.01   Atk1Rec   Y    30     1.547    1.343     0.07
 4.02   Atk1Rec   Y    30     1.547    1.352     0.10
 4.03   Atk1Rec   Y    30     1.547    1.360     0.08
 4.04   Atk1Rec   Y    30     1.547    1.368     0.08
 4.04   Atk1Rec   Y    30     1.547    1.374    15.13
 4.05   Atk1Rec   Y    30     1.547    1.345    14.56
 4.06   Atk1Rec   Y    30     1.547    1.324    14.16
 4.06   Atk1Rec   Y    30     1.547    1.289    13.50
 4.07   Atk1Rec   Y    30     1.547    1.263    12.97
 4.08   Atk1Rec   Y    30     1.547    1.241    12.45
 4.08   Atk1Rec   Y    30     1.547    1.224    11.81
 4.09   Atk1Rec   Y    30     1.547    1.220    11.23
 4.10   Atk1Rec   Y    30     1.547    1.230    10.74
 4.10   Atk2      Y    30     1.547    1.253    10.15
 4.11   Atk2      Y    30     1.547    1.253     9.41
 4.12   Atk2      Y    30     1.547    1.253     8.86
 4.13   Atk2      Y    30     1.547    1.253     8.25
 4.13   Atk2      Y    30     1.547    1.253     7.82
 4.14   Atk2      Y    30     1.547    1.253     7.31
 4.15   Atk2      Y    30     1.547    1.253     6.74
 4.15   Atk2      Y    30     1.547    1.253     6.20
 4.16   Atk2      Y    30     1.547    1.253     5.65
 4.17   Atk2      Y    30     1.547    1.253     5.11
 4.17   Atk2      Y    30     1.547    1.253     4.47
 4.18   Atk2      Y    30     1.547    1.253     3.97
 4.19   Atk2      Y    30     1.547    1.251     3.34
 4.19   Atk2      Y    30     1.547    1.250     2.80
 4.20   Atk2      Y    30     1.547    1.252     2.20
 4.21   Atk2      Y    30     1.547    1.259     1.62
 4.22   Atk2      Y    30     1.547    1.269     1.09
 4.22   Atk2      Y    30     1.547    1.285     0.53
 4.23   Atk2      Y    30     1.547    1.306     0.15
 4.24   Atk2      Y    30     1.547    1.342     0.00
 4.24   Atk2      Y    30     1.547    1.380     0.00
 4.25   Atk2      Y    30     1.547    1.429     0.00
 4.26   Atk2      Y    30     1.547    1.473     0.00
 4.26   Atk2      Y    30     1.547    1.505     0.00
 4.27   Atk2      Y    30     1.547    1.535     0.00
 4.28   Atk2      Y    30     1.547    1.561     0.00
 4.29   Atk2      Y    30     1.547    1.577     0.00
 4.29   Atk2      Y    30     1.547    1.582     0.00
 4.30   Atk2      Y    30     1.547    1.578     0.00
 4.31   Atk2      Y    30     1.547    1.574     0.00
 4.31   Atk2      Y    30     1.547    1.573     0.00
 4.32   Atk2      Y    30     1.547    1.572     0.00
 4.33   Atk2      Y    30     1.547    1.571     0.00
 4.33   Atk2      Y    30     1.547    1.569     0.00
 4.34   Atk2      Y    30     1.547    1.567     0.00
 4.35   Atk2      Y    30     1.547    1.565     0.00
 4.35   Atk2      Y    30     1.547    1.562     0.00
 4.36   Atk2      Y    30     1.547    1.559     0.00
 4.37   Atk2      Y    30     1.547    1.555     0.00
 4.38   Atk2      Y    30     1.547    1.550     0.00
 4.38   Atk2      Y    30     1.547    1.545     0.00
 4.39   Atk2      Y    30     1.547    1.539     0.00
 4.40   Atk2      Y    30     1.547    1.532     0.00
 4.40   Atk2      Y    30     1.547    1.526     0.00
 4.41   Atk2      Y    30     1.547    1.517     0.00
 4.42   Atk2      Y    30     1.547    1.511     0.00
 4.43   Atk2      Y    30     1.547    1.503     0.00
 4.43   Atk2      Y    30     1.547    1.497     0.00
 4.44   Atk2      Y    30     1.547    1.493     0.00
 4.45   Atk2      Y    30     1.547    1.488     0.00
 4.45   Atk2      Y    30     1.547    1.485     0.00
 4.46   Atk2      Y    30     1.547    1.482     0.00
 4.46   Atk2      Y    30     1.547    1.480     0.00
 4.47   Atk2      Y    30     1.547    1.478     0.00
 4.48   Atk2      Y    30     1.547    1.478     0.00
 4.49   Atk2      Y    30     1.547    1.477     0.00
 4.49   Atk2      Y    30     1.547    1.476     0.00
 4.50   Atk2      Y    30     1.547    1.475     0.00
 4.51   Atk2      Y    30     1.547    1.473     0.00
 4.51   Atk2      Y    30     1.547    1.470     0.00
 4.52   Atk2      Y    30     1.547    1.467     0.00
 4.53   Atk2      Y    30     1.547    1.463     0.00
 4.54   Atk2Rec   Y    30     1.547    1.460     0.00
 4.54   Atk2Rec   Y    30     1.547    1.457     0.00
 4.55   Atk2Rec   Y    30     1.547    1.453     0.00
 4.55   Atk2Rec   Y    30     1.547    1.449     0.00
 4.56   Atk2Rec   Y    30     1.547    1.445     0.00
 4.57   Atk2Rec   Y    30     1.547    1.440     0.00
 4.58   Atk2Rec   Y    30     1.547    1.435     0.00
 4.58   Atk2Rec   Y    30     1.547    1.429     0.00
 4.59   Atk2Rec   Y    30     1.547    1.424     0.00
 4.60   Atk2Rec   Y    30     1.547    1.419     0.00
 4.60   Atk2Rec   Y    30     1.547    1.413     0.00
 4.61   Atk2Rec   Y    30     1.547    1.405     0.00
 4.62   Atk2Rec   Y    30     1.547    1.398     0.00
 4.62   Atk2Rec   Y    30     1.547    1.391     0.00
 4.63   Atk2Rec   Y    30     1.547    1.384     0.00
 4.64   Atk2Rec   Y    30     1.547    1.376     0.00
 4.65   Atk2Rec   Y    30     1.547    1.367     0.00
 4.65   Atk2Rec   Y    30     1.547    1.359     0.00
 4.66   Atk2Rec   Y    30     1.547    1.350     0.00
 4.67   Atk2Rec   Y    30     1.547    1.342     0.00
 4.67   Atk2Rec   Y    30     1.547    1.333     0.00
 4.68   Atk2Rec   Y    30     1.547    1.324     0.08
 4.69   Atk2Rec   Y    30     1.547    1.315     0.08
 4.69   Atk2Rec   Y    30     1.547    1.306     0.08
 4.70   Atk2Rec   Y    30     1.547    1.296     0.08
 4.71   Atk2Rec   Y    30     1.547    1.287    15.12
 4.71   Atk2Rec   Y    30     1.547    1.298    14.84
 4.72   Atk2Rec   Y    30     1.547    1.317    14.49
 4.73   Atk2Rec   Y    30     1.547    1.340    14.13
 4.74   Atk2Rec   Y    30     1.547    1.368    13.80
 4.74   Atk2Rec   Y    30     1.547    1.399    13.48
 4.75   Atk2Rec   Y    30     1.547    1.442    13.13
 4.76   Atk2Rec   Y    30     1.547    1.492    12.78
 4.77   Atk2Rec   Y    30     1.547    1.539    12.50
 4.77   Atk3      Y    30     1.547    1.567    12.17
 4.78   Atk3      Y    30     1.547    1.568    11.84
 4.79   Atk3      Y    30     1.547    1.569    11.50
 4.79   Atk3      Y    30     1.547    1.570    11.25
 4.80   Atk3      Y    30     1.547    1.571    10.85
 4.81   Atk3      Y    30     1.547    1.571    10.61
 4.81   Atk3      Y    30     1.547    1.572    10.29
 4.82   Atk3      Y    30     1.547    1.573    10.01
 4.83   Atk3      Y    30     1.547    1.576     9.57
 4.83   Atk3      Y    30     1.547    1.577     9.33
 4.84   Atk3      Y    30     1.547    1.575     9.05
 4.85   Atk3      Y    30     1.547    1.568     8.71
 4.86   Atk3      Y    30     1.547    1.557     8.36
 4.86   Atk3      Y    30     1.547    1.544     8.03
 4.87   Atk3      Y    30     1.547    1.529     7.71
 4.88   Atk3      Y    30     1.547    1.509     7.39
 4.88   Atk3      Y    30     1.547    1.492     7.13
 4.89   Atk3      Y    30     1.547    1.472     6.82
 4.89   Atk3      Y    30     1.547    1.457     6.56
 4.90   Atk3      Y    30     1.547    1.443     6.21
 4.91   Atk3      Y    30     1.547    1.431     5.87
 4.92   Atk3      Y    30     1.547    1.424     5.58
 4.92   Atk3      Y    30     1.547    1.418     5.24
 4.93   Atk3      Y    30     1.547    1.416     4.92
 4.94   Atk3      Y    30     1.547    1.416     4.61
 4.95   Atk3      Y    30     1.547    1.418     4.24
 4.95   Atk3      Y    30     1.547    1.418     3.93
 4.96   Atk3      Y    30     1.547    1.418     3.56
 4.97   Atk3      Y    30     1.547    1.418     3.29
 4.97   Atk3      Y    30     1.547    1.418     2.98
 4.98   Atk3      Y    30     1.547    1.418     2.71
 4.99   Atk3      Y    30     1.547    1.418     2.40
 4.99   Atk3      Y    30     1.547    1.418     2.09
 5.00   Atk3      Y    30     1.547    1.418     1.78
 5.01   Atk3      Y    30     1.547    1.418     1.45
 5.01   Atk3      Y    30     1.547    1.418     1.12
 5.02   Atk3      Y    30     1.547    1.418     0.82
 5.03   Atk3      Y    30     1.547    1.418     0.42
 5.03   Atk3      Y    30     1.547    1.418     0.13
 5.04   Atk3      Y    30     1.547    1.418     0.00
 5.05   Atk3      Y    30     1.547    1.418     0.00
 5.05   Atk3      Y    30     1.547    1.418     0.00
 5.06   Atk3      Y    30     1.547    1.418     0.00
 5.07   Atk3      Y    30     1.547    1.418     0.00
 5.08   Atk3      Y    30     1.547    1.418     0.00
 5.08   Atk3      Y    30     1.547    1.418     0.00
 5.09   Atk3      Y    30     1.547    1.418     0.00
 5.10   Atk3      Y    30     1.547    1.418     0.00
 5.10   Atk3      Y    30     1.547    1.418     0.00
 5.11   Atk3      Y    30     1.547    1.418     0.00
 5.12   Atk3      Y    30     1.547    1.418     0.00
 5.13   Atk3      Y    30     1.547    1.418     0.00
 5.13   Atk3      Y    30     1.547    1.418     0.00
 5.14   Atk3      Y    30     1.547    1.418     0.00
 5.15   Atk3      Y    30     1.547    1.418     0.00
 5.15   Atk3      Y    30     1.547    1.418     0.00
 5.16   Atk3      Y    30     1.547    1.418     0.00
 5.17   Atk3      Y    30     1.547    1.418     0.00
 5.17   Atk3      Y    30     1.547    1.418     0.00
 5.18   Atk3      Y    30     1.547    1.418     0.00
 5.19   Atk3      Y    30     1.547    1.418     0.00
 5.19   Atk3      Y    30     1.547    1.418     0.00
 5.20   Atk3      Y    30     1.547    1.418     0.00
 5.21   Atk3      Y    30     1.547    1.418     0.00
 5.21   Atk3      Y    30     1.547    1.418     0.00
 5.22   Atk3      Y    30     1.547    1.418     0.00
 5.23   Atk3      Y    30     1.547    1.418     0.00
 5.24   Atk3      Y    30     1.547    1.418     0.00
 5.24   Atk3      Y    30     1.547    1.418     0.00
 5.25   Atk3      Y    30     1.547    1.418     0.00
 5.26   Atk3      Y    30     1.547    1.418     0.00
 5.26   Atk3      Y    30     1.547    1.418     0.00
 5.27   Atk3      Y    30     1.547    1.418     0.00
 5.28   Atk3      Y    30     1.547    1.418     0.00
 5.28   Atk3      Y    30     1.547    1.418     0.00
 5.29   Atk3      Y    30     1.547    1.418     0.00
 5.30   Atk3      Y    30     1.547    1.418     0.00
 5.30   Atk3      Y    30     1.547    1.418     0.00
 5.31   Atk3      Y    30     1.547    1.418     0.00
 5.32   Atk3      Y    30     1.547    1.418     0.00
 5.33   Atk3      Y    30     1.547    1.418     0.00
 5.33   Atk3      Y    30     1.547    1.418     0.00
 5.34   Atk3      Y    30     1.547    1.418     0.00
 5.35   Atk3      Y    30     1.547    1.418     0.00
 5.35   Atk3      Y    30     1.547    1.418     0.00
 5.36   Atk3      Y    30     1.547    1.418     0.00
 5.37   Atk3      Y    30     1.547    1.418     0.00
 5.38   Atk3      Y    30     1.547    1.418     0.00
 5.38   Atk3      Y    30     1.547    1.418     0.00
 5.39   Atk3      Y    30     1.547    1.418     0.00
 5.39   Atk3      Y    30     1.547    1.418     0.00
 5.40   Atk3      Y    30     1.547    1.418     0.00
 5.41   Atk3      Y    30     1.547    1.418     0.00
 5.42   Atk3      Y    30     1.547    1.418     0.00
 5.42   Atk3      Y    30     1.547    1.418     0.00
 5.43   Atk3      Y    30     1.547    1.418     0.00
 5.44   Atk3      Y    30     1.547    1.418     0.08
 5.44   Atk3      Y    30     1.547    1.418     0.07
 5.45   Atk3      Y    30     1.547    1.418     0.08
 5.46   Atk3      Y    30     1.547    1.418     0.08
 5.47   Atk3      Y    30     1.547    1.418     0.08
 5.47   Atk3      Y    30     1.547    1.418     0.07
 5.48   Atk3      Y    30     1.547    1.418     0.07
 5.49   Atk3      Y    30     1.547    1.418     0.09
 5.49   Atk3      Y    30     1.547    1.418     0.08
 5.50   Atk3      Y    30     1.547    1.418     0.08
 5.51   Atk3      Y    30     1.547    1.418     0.07
 5.51   Atk3      Y    30     1.547    1.418     0.08
 5.52   Atk3      Y    30     1.547    1.418     0.08
 5.53   Atk3      Y    30     1.547    1.418     0.06
 5.53   Atk3      Y    30     1.547    1.418     0.09
 5.54   Atk3      Y    30     1.547    1.418     0.08
 5.55   Atk3      Y    30     1.547    1.418     0.07
 5.55   Atk3      Y    30     1.547    1.418     0.08
 5.56   Atk3      Y    30     1.547    1.418     0.10
 5.57   Atk3      Y    30     1.547    1.417     0.06
 5.58   Atk3      Y    30     1.547    1.416     0.07
 5.58   Atk3      Y    30     1.547    1.413     0.07
 5.59   Atk3      Y    30     1.547    1.408     0.09
 5.60   Atk3      Y    30     1.547    1.403     0.08
 5.60   Atk3      Y    30     1.547    1.398     0.07
 5.61   Atk3      Y    30     1.547    1.392     0.07
 5.62   Atk3      Y    30     1.547    1.384     0.08
 5.62   Atk3      Y    30     1.547    1.375     0.08
 5.63   Atk3      Y    30     1.547    1.367     0.07
 5.64   Atk3      Y    30     1.547    1.357     0.08
 5.64   Atk3      Y    30     1.547    1.348     0.08
 5.65   Atk3      Y    30     1.547    1.336     0.09
 5.66   Atk3      Y    30     1.547    1.326     0.08
 5.66   Atk3      Y    30     1.547    1.317     0.07
 5.67   Atk3      Y    30     1.547    1.304     0.09
 5.68   Atk3      Y    30     1.547    1.294     0.08
 5.69   Atk3      Y    30     1.547    1.285     0.07
 5.69   Atk3      Y    30     1.547    1.275     0.08
 5.70   Atk3      Y    30     1.547    1.266     0.08
 5.71   Atk3      Y    30     1.547    1.257     0.08
 5.71   Atk3      Y    30     1.547    1.249     0.08
 5.72   Atk3      Y    30     1.547    1.241     0.08
 5.73   Atk3      Y    30     1.547    1.236     0.07
 5.74   Atk3      Y    30     1.547    1.230     0.08
 5.74   Atk3      Y    30     1.547    1.225     0.08
 5.75   Atk3      Y    30     1.547    1.222     0.08
 5.76   Atk3      Y    30     1.547    1.221     0.06
 5.76   Atk3      Y    30     1.547    1.220     0.07
 5.77   Atk3      Y    30     1.547    1.220     0.10
 5.78   Atk3      Y    30     1.547    1.221     0.06
 5.78   Atk3      Y    30     1.547    1.224     0.08
 5.79   Atk3      Y    30     1.547    1.227     0.08
 5.80   Atk3      Y    30     1.547    1.232     0.08
 5.80   Atk3      Y    30     1.547    1.238     0.08
 5.81   Atk3      Y    30     1.547    1.245     0.09
 5.82   Atk3      Y    30     1.547    1.252     0.08
 5.83   Atk3      Y    30     1.547    1.260     0.08
 5.83   Atk3      Y    30     1.547    1.272     0.08
 5.84   Atk3      Y    30     1.547    1.287     0.08
 5.85   Atk3      Y    30     1.547    1.303     0.08
 5.85   Atk3      Y    30     1.547    1.317     0.07
 5.86   Atk3      Y    30     1.547    1.330     0.07
 5.87   Atk3      Y    30     1.547    1.346     0.09
 5.88   Atk3      Y    30     1.547    1.360     0.08
 5.88   Atk3      Y    30     1.547    1.373     0.08
 5.89   Atk3      Y    30     1.547    1.386     0.09
 5.90   Atk3      Y    30     1.547    1.395     0.06
 5.90   Atk3      Y    30     1.547    1.404     0.08
 5.91   Atk3      Y    30     1.547    1.412     0.07
 5.92   Atk3      Y    30     1.547    1.420     0.08
 5.93   Atk3      Y    30     1.547    1.428     0.09
 5.93   Atk3      Y    30     1.547    1.433     0.07
 5.94   Atk3      Y    30     1.547    1.439     0.08
 5.95   Atk3      Y    30     1.547    1.443     0.07
 5.95   Atk3      Y    30     1.547    1.447     0.08
 5.96   Atk3      Y    30     1.547    1.450     0.08
 5.97   Atk3      Y    30     1.547    1.454     0.11
 5.98   Atk3      Y    30     1.547    1.458     0.14
 5.99   Atk3      Y    30     1.547    1.459     0.07
 6.00   Atk3      Y    30     1.547    1.461     0.15
 6.01   Atk3      Y    30     1.547    1.462     0.14
 6.03   Atk3      Y    30     1.547    1.462     0.12
 6.04   Walk      Y    30     1.547    1.462     0.14   ← 非攻击
 6.05   Walk      Y    30     1.547    1.462     0.00   ← 非攻击
 6.06   Walk      Y    30     1.547    1.462     0.28   ← 非攻击
 6.07   Walk      Y    30     1.547    1.462     0.56   ← 非攻击
 6.08   Walk      Y    30     1.547    1.462     0.83   ← 非攻击
 6.09   Walk      Y    30     1.547    1.462    12.77   ← 非攻击
 6.11   Walk      Y    30     1.547    1.459    11.72   ← 非攻击
 6.12   Walk      Y    30     1.547    1.449    10.82   ← 非攻击
 6.13   Walk      Y    30     1.547    1.426     9.98   ← 非攻击
 6.13   Walk      Y    30     1.547    1.409     9.61   ← 非攻击
 6.14   Walk      Y    30     1.547    1.379     9.10   ← 非攻击
 6.15   Walk      Y    30     1.547    1.339     8.55   ← 非攻击
 6.15   Atk1      Y    30     1.547    1.293     7.95
 6.16   Atk1      Y    30     1.547    1.263     7.34
 6.17   Atk1      Y    30     1.547    1.241     6.77
 6.18   Atk1      Y    30     1.547    1.220     5.68
 6.19   Atk1      Y    30     1.547    1.223     4.85
 6.20   Atk1      Y    30     1.547    1.234     4.00
 6.22   Atk1      Y    30     1.547    1.250     2.74
 6.23   Atk1      Y    30     1.547    1.256     1.85
 6.24   Atk1      Y    30     1.547    1.254     0.99
 6.25   Atk1      Y    30     1.547    1.253     0.15
 6.27   Atk1      Y    30     1.547    1.253     0.00
 6.28   Atk1      Y    30     1.547    1.253     0.00
 6.29   Atk1      Y    30     1.547    1.253     0.00
 6.30   Atk1      Y    30     1.547    1.253     0.00
 6.31   Atk1      Y    30     1.547    1.253     0.00
 6.32   Atk1      Y    30     1.547    1.253     0.00
 6.34   Atk1      Y    30     1.547    1.253     0.00
 6.35   Atk1      Y    30     1.547    1.252     0.00
 6.36   Atk1      Y    30     1.547    1.252     0.00
 6.37   Atk1      Y    30     1.547    1.252     0.00
 6.38   Atk1      Y    30     1.547    1.252     0.00
 6.39   Atk1      Y    30     1.547    1.252     0.00
 6.40   Atk1      Y    30     1.547    1.253     0.00
 6.41   Atk1      Y    30     1.547    1.253     0.00
 6.41   Atk1      Y    30     1.547    1.253     0.00
 6.42   Atk1      Y    30     1.547    1.253     0.00
 6.43   Atk1      Y    30     1.547    1.253     0.00
 6.44   Atk1      Y    30     1.547    1.253     0.00
 6.45   Atk1      Y    30     1.547    1.252     0.00
 6.45   Atk1      Y    30     1.547    1.251     0.00
 6.46   Atk1      Y    30     1.547    1.250     0.00
 6.47   Atk1      Y    30     1.547    1.248     0.00
 6.47   Atk1      Y    30     1.547    1.246     0.00
 6.48   Atk1      Y    30     1.547    1.243     0.00
 6.49   Atk1      Y    30     1.547    1.241     0.00
 6.49   Atk1      Y    30     1.547    1.237     0.00
 6.50   Atk1      Y    30     1.547    1.233     0.00
 6.51   Atk1Rec   Y    30     1.547    1.231     0.00
 6.51   Atk1Rec   Y    30     1.547    1.229     0.00
 6.52   Atk1Rec   Y    30     1.547    1.226     0.00
 6.53   Atk1Rec   Y    30     1.547    1.224     0.00
 6.53   Atk1Rec   Y    30     1.547    1.223     0.00
 6.54   Atk1Rec   Y    30     1.547    1.221     0.00
 6.55   Atk1Rec   Y    30     1.547    1.220     0.00
 6.56   Atk1Rec   Y    30     1.547    1.220     0.00
 6.56   Atk1Rec   Y    30     1.547    1.219     0.00
 6.57   Atk1Rec   Y    30     1.547    1.220     0.00
 6.58   Atk1Rec   Y    30     1.547    1.221     0.00
 6.59   Atk1Rec   Y    30     1.547    1.222     0.00
 6.59   Atk1Rec   Y    30     1.547    1.224     0.00
 6.60   Atk1Rec   Y    30     1.547    1.226     0.00
 6.60   Atk1Rec   Y    30     1.547    1.228     0.00
 6.61   Atk1Rec   Y    30     1.547    1.231     0.00
 6.62   Atk1Rec   Y    30     1.547    1.235     0.00
 6.62   Atk1Rec   Y    30     1.547    1.239     0.00
 6.63   Atk1Rec   Y    30     1.547    1.243     0.00
 6.64   Atk1Rec   Y    30     1.547    1.248     0.08
 6.65   Atk1Rec   Y    30     1.547    1.254     0.09
 6.65   Atk1Rec   Y    30     1.547    1.261     0.08
 6.66   Atk1Rec   Y    30     1.547    1.267     0.08
 6.67   Atk1Rec   Y    30     1.547    1.273     0.07
 6.67   Atk1Rec   Y    30     1.547    1.282     0.10
 6.68   Atk1Rec   Y    30     1.547    1.289     0.07
 6.69   Atk1Rec   Y    30     1.547    1.296     0.07
 6.69   Atk1Rec   Y    30     1.547    1.302     0.07
 6.70   Atk1Rec   Y    30     1.547    1.311     0.09
 6.71   Atk1Rec   Y    30     1.547    1.320     0.09
 6.72   Atk1Rec   Y    30     1.547    1.329     0.10
 6.72   Atk1Rec   Y    30     1.547    1.336     0.07
 6.73   Atk1Rec   Y    30     1.547    1.344     0.08
 6.74   Atk1Rec   Y    30     1.547    1.350     0.07
 6.74   Atk1Rec   Y    30     1.547    1.357     0.08
 6.75   Atk1Rec   Y    30     1.547    1.365     0.08
 6.76   Atk1Rec   Y    30     1.547    1.374     0.10
 6.76   Atk1Rec   Y    30     1.547    1.380     0.06
 6.77   Atk1Rec   Y    30     1.547    1.387     0.09
 6.78   Atk1Rec   Y    30     1.547    1.394     0.08
 6.79   Atk1Rec   Y    30     1.547    1.399     0.06
 6.79   Atk1Rec   Y    30     1.547    1.405     0.08
 6.80   Atk1Rec   Y    30     1.547    1.412     0.09
 6.81   Atk1Rec   Y    30     1.547    1.419     0.08
 6.81   Atk1Rec   Y    30     1.547    1.425     0.07
 6.82   Atk1Rec   Y    30     1.547    1.431     0.08
 6.83   Atk1Rec   Y    30     1.547    1.437     0.08
 6.83   Atk1Rec   Y    30     1.547    1.440     0.06
 6.84   Atk1Rec   Y    30     1.547    1.444     0.08
 6.85   Atk1Rec   Y    30     1.547    1.448     0.07
 6.85   Atk1Rec   Y    30     1.547    1.451     0.07
 6.86   Atk1Rec   Y    30     1.547    1.453     0.08
 6.87   Atk1Rec   Y    30     1.547    1.456    14.97
 6.88   Atk1Rec   Y    30     1.547    1.459    13.85
