──── 采样 t=4.00s ────
 i | 相对基准的偏移角 | 偏移欧拉(轴角) | 世界Z轴与切线夹角
  5 |       0.00° | ( 0.02, 0.98,-0.03)   0.1° |    14.98°
  6 |       0.00° | (-0.22, 1.05,-0.02)   0.1° |     7.14°
  7 |       0.00° | ( 1.00, 0.00, 0.00)   0.0° |    12.71°
  8 |       0.00° | ( 0.52,-0.93,-0.04)   0.0° |    42.73°
  9 |       0.00° | ( 0.36,-1.11, 0.01)   0.1° |    33.18°
 10 |       0.00° | ( 0.31,-1.08, 0.03)   0.1° |    19.05°
 11 |       0.00° | ( 0.38,-1.47, 0.05)   0.0° |    15.84°
 12 |       0.00° | ( 1.00, 0.00, 0.00)   0.0° |    14.72°
 13 |       0.00° | (-0.28, 1.25,-0.07)   0.1° |    15.49°
 14 |       0.00° | (-0.20, 1.04,-0.06)   0.1° |    17.85°
 15 |       0.00° | (-0.09, 1.07,-0.04)   0.1° |    18.61°
 16 |       0.00° | ( 1.00, 0.00, 0.00)   0.0° |    13.88°
 17 |       0.00° | (-0.12,-1.06, 0.02)   0.0° |     9.41°
 18 |       0.00° | (-0.36,-0.97, 0.16)   0.1° |     8.58°
 19 |       0.00° | (-0.37,-0.90, 0.32)   0.1° |    23.35°
 20 |       0.00° | (-0.27,-1.03, 0.14)   0.1° |    45.01°
 21 |       0.00° | ( 1.00, 0.00, 0.00)   0.0° |    27.04°
 22 |       0.00° | (-0.31, 1.00,-0.03)   0.1° |    13.13°
 23 |       0.00° | ( 0.00, 0.00,-1.06)   0.1° |    65.58°
